"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 14 23:06:48 GMT 2024","Mon Oct 14 23:06:49 GMT 2024","876","chromium","","Page Object ","","","Пользователь может изменить bio. Page Object - junior version",""
"failed","Mon Oct 14 23:06:33 GMT 2024","Mon Oct 14 23:06:39 GMT 2024","6005","Web interface","Essential features","Authentication","","","Пользователь может изменить bio. Page Object - junior version",""
"failed","Mon Oct 14 23:06:42 GMT 2024","Mon Oct 14 23:06:42 GMT 2024","105","chromium","","API challenge v3","","","Получить список заданий get /challenges @API",""
"passed","Mon Oct 14 23:06:40 GMT 2024","Mon Oct 14 23:06:40 GMT 2024","121","chromium","","API challenge v2","","","Получить список заданий get /challenges @API",""
"passed","Mon Oct 14 23:06:46 GMT 2024","Mon Oct 14 23:06:46 GMT 2024","875","chromium","","Builder","","","Пользователь может изменить bio. Page Object - junior version",""
"passed","Mon Oct 14 23:06:44 GMT 2024","Mon Oct 14 23:06:45 GMT 2024","1012","chromium","","Builder","","","Пользователь может изменить bio. Page Object - junior version",""
"passed","Mon Oct 14 23:06:43 GMT 2024","Mon Oct 14 23:06:43 GMT 2024","120","chromium","","API challenge","","","Отредактировать задание PUT /todos/{id}",""
"passed","Mon Oct 14 23:06:45 GMT 2024","Mon Oct 14 23:06:46 GMT 2024","254","chromium","","CSS","","","Проверить цвет логотипа",""
"passed","Mon Oct 14 23:06:46 GMT 2024","Mon Oct 14 23:06:47 GMT 2024","876","chromium","","Builder","","","Пользователь может изменить bio. Page Object - junior version",""
"passed","Mon Oct 14 23:06:47 GMT 2024","Mon Oct 14 23:06:48 GMT 2024","860","chromium","","Builder","","","Две фикстуры",""
"passed","Mon Oct 14 23:06:43 GMT 2024","Mon Oct 14 23:06:43 GMT 2024","121","chromium","","API challenge","","","Получить список заданий get /challenges",""
"passed","Mon Oct 14 23:06:40 GMT 2024","Mon Oct 14 23:06:40 GMT 2024","302","chromium","","","","","mocks a fruit and doesn't call api",""
"passed","Mon Oct 14 23:06:49 GMT 2024","Mon Oct 14 23:06:50 GMT 2024","874","chromium","","Page Object ","","","Пользователь может изменить bio. Page Object - middle version",""
